Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\IFAT6\Project Outputs for IFAT6\Pick Place\Pick Place for IFAT6.txt

========================================================================================================================
File Design Information:

Date:       19/05/22
Time:       16:02
Revision:   d022d813645fc14b76175c4574ae8de5aa684071
Variant:    No variations
Units used: mil

Designator      Comment            Layer       Footprint                        Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                          
IFAT6           "SOCKET QFP_100"   TopLayer    YAMAICHI_IC149-100-025-B5        3190.000      2273.366      180      "100 pin QFP"                                                                                                                                                        
C3_C_VCCO1_FPGA "10 pF"            TopLayer    CAPC2012X88N                     5810.000      1720.000      225      Capacitor                                                                                                                                                            
C2_C_VCCO1_FPGA 100pF              TopLayer    CAPC1608X90N                     5865.000      1655.000      225      Capacitor                                                                                                                                                            
C1_C_VCCO1_FPGA "Cap 1nF 0805"     TopLayer    Samsung_CL21B_Series             5925.000      1600.000      45       "Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.001uF, Surface Mount, 0805"                                                         
H_PWR_DAC1      "HEADER 2X1 TMT"   TopLayer    Samtec_TSW-102-07-G-S            4094.523      3235.000      180      "CONN HEADER VERT 2POS 2.54MM
Connector Header Through Hole 2 position 0.100" (2.54mm)"                                                                             
Buffer3         OPA2320S           BottomLayer TI_OPA2320SAIDGSR                3445.153      2454.640      135      "IC OPAMP RR CMOS 20MHZ 10VSSOP
CMOS Amplifier Circuit Rail-to-Rail 10-VSSOP"                                                                                       
C4_+VDC_FPGA4   "Cap 100uF 0805"   BottomLayer KEMET_C0805C104J8RACTU           5900.000      2040.000      45       "100 µF ±20% 6.3V Ceramic Capacitor X5R 0805 (2012 Metric)"                                                                                                          
C3_+VDC_FPGA7   "10 pF"            BottomLayer CAPC2012X88N                     4350.000      3630.000      180      Capacitor                                                                                                                                                            
C3_+VDC_FPGA4   "Cap 1nF 0805"     BottomLayer Samsung_CL21B_Series             5760.000      2175.000      45       "Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.001uF, Surface Mount, 0805"                                                         
C2_+VDC_FPGA7   100pF              BottomLayer CAPC1608X90N                     4345.000      3725.000      180      Capacitor                                                                                                                                                            
C2_+VDC_FPGA4   "Cap 100nF 0805"   BottomLayer KEMET_C0805C104J8RACTU           5640.000      2300.000      45       "CAP CER 0.1UF 10V X7R 0805
±10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"                                                                                      
C1_+VDC_FPGA7   "Cap 1nF 0805"     BottomLayer Samsung_CL21B_Series             4350.000      3815.000      0        "Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.001uF, Surface Mount, 0805"                                                         
C1_+VDC_FPGA4   "Cap 10uF 0805"    BottomLayer KEMET_C0805C106K4PACTU           5495.000      2445.000      45       "CAP CER 10UF 16V X5R 0805
±10% 16V Ceramic Capacitor X5R 0805 (2012 Metric)"                                                                                       
