+====================+===================+================================+
| Launch Setup Clock | Launch Hold Clock | Pin                            |
+====================+===================+================================+
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/temp_adc_csb_reg/D     |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/temp_adc_sclk_reg/D    |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_done_reg/D         |
| mmcm0_clk0         | mmcm0_clk0        | uut_dac1/sdi_reg/D             |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_data_len_reg[7]/R  |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_data_len_reg[2]/R  |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_data_len_reg[1]/R  |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_data_len_reg[5]/R  |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_data_len_reg[6]/R  |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_data_len_reg[0]/R  |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/temp_adc_bit_reg/CE    |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[18]/D     |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[17]/D     |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[16]/D     |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[12]/D     |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[15]/D     |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[11]/D     |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[22]/D     |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[3]/CE     |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[6]/CE     |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[5]/CE     |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[4]/CE     |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[23]/D     |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[13]/CE    |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[20]/CE    |
| mmcm0_clk0         | mmcm0_clk0        | uut_dac5/sdi_reg/D             |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[22]/CE    |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[21]/CE    |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[17]/CE    |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[18]/CE    |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[19]/CE    |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[23]/CE    |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[0]/CE     |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[14]/CE    |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[7]/CE     |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[8]/CE     |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[11]/CE    |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[12]/CE    |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[2]/CE     |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[10]/CE    |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[9]/CE     |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[1]/CE     |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[21]/D     |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[15]/CE    |
| mmcm0_clk0         | mmcm0_clk0        | uut_adc/adc_dout_reg[16]/CE    |
| mmcm0_clk0         | mmcm0_clk0        | uut_dac3/sdi_reg/D             |
| mmcm0_clk0         | mmcm0_clk0        | uut_dac4/sdi_reg/D             |
